timestamp,passenger_count,staff_count,active_flights,active_gates,outdoor_dry_bulb_c,outdoor_wet_bulb_c,outdoor_rh_percent,solar_load_percent,lighting_load_kw,equipment_load_kw,ventilation_load_kw,ahu_cooling_demand_percent,chw_supply_temp_c,chw_return_temp_c,calculated_cooling_load_kw,sensor_quality
2026-07-12T00:00:00+06:30,180,102,3,2,27.0,24.0,84.0,0,16,11.08,10.16,38.1,7.0,11.77,79.95,GOOD
2026-07-12T00:10:00+06:30,178,102,3,2,26.98,23.99,84.1,0,16,11.07,10.14,38.0,7.0,11.77,79.76,GOOD
2026-07-12T00:20:00+06:30,176,101,3,2,26.97,23.99,84.1,0,16,11.06,10.11,37.9,7.0,11.76,79.52,GOOD
2026-07-12T00:30:00+06:30,173,101,3,2,26.95,23.98,84.2,0,16,11.04,10.08,37.7,7.0,11.76,79.27,GOOD
2026-07-12T00:40:00+06:30,171,101,3,2,26.93,23.98,84.2,0,16,11.03,10.05,37.7,7.0,11.76,79.08,GOOD
2026-07-12T00:50:00+06:30,169,101,3,2,26.92,23.97,84.3,0,16,11.01,10.03,37.6,7.0,11.75,78.9,GOOD
2026-07-12T01:00:00+06:30,167,101,3,2,26.9,23.97,84.3,0,16,11.0,10.0,37.5,7.0,11.75,78.71,GOOD
2026-07-12T01:10:00+06:30,164,101,3,2,26.88,23.96,84.4,0,16,10.98,9.97,37.4,7.0,11.75,78.46,GOOD
2026-07-12T01:20:00+06:30,162,101,3,2,26.87,23.96,84.4,0,16,10.97,9.94,37.3,7.0,11.74,78.27,GOOD
2026-07-12T01:30:00+06:30,160,100,3,2,26.85,23.95,84.5,0,16,10.96,9.92,37.2,7.0,11.74,78.03,GOOD
2026-07-12T01:40:00+06:30,158,100,3,2,26.83,23.94,84.5,0,16,10.95,9.9,37.1,7.0,11.73,77.84,GOOD
2026-07-12T01:50:00+06:30,156,100,3,2,26.82,23.94,84.6,0,16,10.94,9.87,37.0,7.0,11.73,77.66,GOOD
2026-07-12T02:00:00+06:30,153,100,3,2,26.8,23.93,84.7,0,16,10.92,9.84,36.9,7.0,11.73,77.41,GOOD
2026-07-12T02:10:00+06:30,151,100,3,2,26.78,23.93,84.7,0,16,10.91,9.81,36.8,7.0,11.72,77.22,GOOD
2026-07-12T02:20:00+06:30,149,100,3,2,26.77,23.92,84.8,0,16,10.89,9.79,36.7,7.0,11.72,77.03,GOOD
2026-07-12T02:30:00+06:30,147,100,3,2,26.75,23.92,84.8,0,16,10.88,9.76,36.6,7.0,11.72,76.84,GOOD
2026-07-12T02:40:00+06:30,144,99,3,2,26.73,23.91,84.9,0,16,10.86,9.73,36.4,7.0,11.71,76.54,GOOD
2026-07-12T02:50:00+06:30,142,99,3,2,26.72,23.91,84.9,0,16,10.85,9.7,36.4,7.0,11.71,76.35,GOOD
2026-07-12T03:00:00+06:30,140,99,3,2,26.7,23.9,85.0,0,16,10.84,9.68,36.3,7.0,11.71,76.16,GOOD
2026-07-12T03:10:00+06:30,149,100,3,2,26.68,23.89,85.0,0,16,10.89,9.79,36.5,7.0,11.72,76.73,GOOD
2026-07-12T03:20:00+06:30,158,100,3,2,26.67,23.89,85.1,0,16,10.95,9.9,36.8,7.0,11.72,77.23,GOOD
2026-07-12T03:30:00+06:30,168,101,3,2,26.65,23.88,85.2,0,16,11.01,10.02,37.1,7.0,11.73,77.86,GOOD
