timestamp,terminal_id,zone_id,zone_name,passenger_count,capacity,occupancy_percent,people_entering_per_min,people_leaving_per_min,arrival_rate_per_hour,departure_rate_per_hour,queue_length,processing_rate_per_min,estimated_wait_time_min,average_dwell_time_min,active_service_counters,flow_level,quality,source_mode
2026-07-15T00:00:00.000Z,T1,DEPARTURE-HALL,Departure Hall,744,2400,31,12,10,720,600,9,12.14,0.74,29.82,,normal,good,simulated
2026-07-15T00:00:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,420,1900,22.11,10,9,600,540,7,11.42,0.61,28.46,,normal,good,simulated
2026-07-15T00:00:00.000Z,T1,CHECKIN-A,Check-in Zone A,280,900,31.11,11,9,660,540,42,11.78,3.57,29.14,8,normal,good,simulated
2026-07-15T00:00:00.000Z,T1,CHECKIN-B,Check-in Zone B,189,900,21,10,8,600,480,28,11.17,2.51,27.98,8,normal,good,simulated
2026-07-15T00:00:00.000Z,T1,SECURITY-01,Security Checkpoint,185,700,26.43,10,8,600,480,36,10.95,3.29,27.58,4,normal,good,simulated
2026-07-15T00:00:00.000Z,T1,IMMIGRATION-01,Immigration Hall,189,850,22.24,9,8,540,480,30,10.81,2.78,27.3,4,normal,good,simulated
2026-07-15T00:00:00.000Z,T1,GATE-AREA-A,Gate Area A,265,1100,24.09,10,8,600,480,7,11.31,0.62,28.26,,normal,good,simulated
2026-07-15T00:00:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,233,900,25.89,9,7,540,420,8,10.59,0.76,26.9,,normal,good,simulated
2026-07-15T00:10:00.000Z,T1,DEPARTURE-HALL,Departure Hall,684,2400,28.5,12,10,720,600,9,12.14,0.74,29.82,,normal,good,simulated
2026-07-15T00:10:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,453,1900,23.84,10,9,600,540,7,11.42,0.61,28.46,,normal,good,simulated
2026-07-15T00:10:00.000Z,T1,CHECKIN-A,Check-in Zone A,273,900,30.33,11,9,660,540,41,11.78,3.48,29.14,8,normal,good,simulated
2026-07-15T00:10:00.000Z,T1,CHECKIN-B,Check-in Zone B,187,900,20.78,10,8,600,480,28,11.17,2.51,27.98,8,normal,good,simulated
2026-07-15T00:10:00.000Z,T1,SECURITY-01,Security Checkpoint,194,700,27.71,10,8,600,480,37,10.95,3.38,27.58,4,normal,good,simulated
2026-07-15T00:10:00.000Z,T1,IMMIGRATION-01,Immigration Hall,171,850,20.12,9,8,540,480,27,10.81,2.5,27.3,4,normal,good,simulated
2026-07-15T00:10:00.000Z,T1,GATE-AREA-A,Gate Area A,296,1100,26.91,10,8,600,480,8,11.31,0.71,28.26,,normal,good,simulated
2026-07-15T00:10:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,204,900,22.67,9,7,540,420,7,10.59,0.66,26.9,,normal,good,simulated
2026-07-15T00:20:00.000Z,T1,DEPARTURE-HALL,Departure Hall,607,2400,25.29,12,10,720,600,8,12.14,0.66,29.82,,normal,good,simulated
2026-07-15T00:20:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,505,1900,26.58,10,9,600,540,8,11.42,0.7,28.46,,normal,good,simulated
2026-07-15T00:20:00.000Z,T1,CHECKIN-A,Check-in Zone A,255,900,28.33,11,9,660,540,38,11.78,3.23,29.14,8,normal,good,simulated
2026-07-15T00:20:00.000Z,T1,CHECKIN-B,Check-in Zone B,197,900,21.89,10,8,600,480,30,11.17,2.69,27.98,8,normal,good,simulated
2026-07-15T00:20:00.000Z,T1,SECURITY-01,Security Checkpoint,193,700,27.57,10,8,600,480,37,10.95,3.38,27.58,4,normal,good,simulated
2026-07-15T00:20:00.000Z,T1,IMMIGRATION-01,Immigration Hall,164,850,19.29,9,8,540,480,26,10.81,2.41,27.3,4,normal,good,simulated
2026-07-15T00:20:00.000Z,T1,GATE-AREA-A,Gate Area A,316,1100,28.73,10,8,600,480,9,11.31,0.8,28.26,,normal,good,simulated
2026-07-15T00:20:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,181,900,20.11,9,7,540,420,6,10.59,0.57,26.9,,normal,good,simulated
2026-07-15T00:30:00.000Z,T1,DEPARTURE-HALL,Departure Hall,719,2400,29.96,12,10,720,600,9,12.14,0.74,29.82,,normal,good,simulated
2026-07-15T00:30:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,416,1900,21.89,10,9,600,540,7,11.42,0.61,28.46,,normal,good,simulated
2026-07-15T00:30:00.000Z,T1,CHECKIN-A,Check-in Zone A,228,900,25.33,11,9,660,540,34,11.78,2.89,29.14,8,normal,good,simulated
2026-07-15T00:30:00.000Z,T1,CHECKIN-B,Check-in Zone B,218,900,24.22,10,8,600,480,33,11.17,2.95,27.98,8,normal,good,simulated
2026-07-15T00:30:00.000Z,T1,SECURITY-01,Security Checkpoint,182,700,26,10,8,600,480,35,10.95,3.2,27.58,4,normal,good,simulated
2026-07-15T00:30:00.000Z,T1,IMMIGRATION-01,Immigration Hall,168,850,19.76,9,8,540,480,27,10.81,2.5,27.3,4,normal,good,simulated
2026-07-15T00:30:00.000Z,T1,GATE-AREA-A,Gate Area A,322,1100,29.27,10,8,600,480,9,11.31,0.8,28.26,,normal,good,simulated
2026-07-15T00:30:00.000Z,T1,BAGGAGE-CLAIM,Baggage Claim,167,900,18.56,9,7,540,420,6,10.59,0.57,26.9,,normal,good,simulated
2026-07-15T00:40:00.000Z,T1,DEPARTURE-HALL,Departure Hall,650,2400,27.08,12,10,720,600,8,12.14,0.66,29.82,,normal,good,simulated
2026-07-15T00:40:00.000Z,T1,ARRIVAL-HALL,Arrival Hall,478,1900,25.16,10,9,600,540,8,11.42,0.7,28.46,,normal,good,simulated
2026-07-15T00:40:00.000Z,T1,CHECKIN-A,Check-in Zone A,270,900,30,11,9,660,540,41,11.78,3.48,29.14,8,normal,good,simulated
