timestamp,component_id,component_type,status,cpu_percent,memory_percent,disk_percent,latency_ms,packet_loss_percent,message_rate_per_sec,last_update_age_sec,clock_offset_ms,battery_level_percent,data_quality,alarm_code,source_mode
2026-07-15T00:00:00.000Z,EDGE-GW-01,edge_gateway,online,23.12,39.86,34,6.2,0.199,560,1,1.25,96,good,,simulated
2026-07-15T00:00:00.000Z,EDGE-GW-02,edge_gateway,online,30.34,34.71,36.2,10.22,0.014,560,1,4.58,96,good,,simulated
2026-07-15T00:00:00.000Z,PLC-HVAC-01,plc,online,22.54,40.56,38.4,5.4,0.25,560,1,0.03,,good,,simulated
2026-07-15T00:00:00.000Z,DDC-AHU-01,ddc,online,29.45,35.12,40.6,10.1,0.009,560,1,4.9,,good,,simulated
2026-07-15T00:00:00.000Z,NEXUS-WEB-01,application,online,24.82,39.09,42.8,6.43,0.209,560,1,0.63,,good,,simulated
2026-07-15T00:00:00.000Z,NEXUS-API-01,api,online,25.98,37.53,45,8.27,0.092,560,1,3.44,,good,,simulated
2026-07-15T00:00:00.000Z,NEXUS-DB-01,database,online,29.14,35.97,47.2,8.9,0.092,560,1,2.82,,good,,simulated
2026-07-15T00:00:00.000Z,NEXUS-EVENT-01,event_bus,online,29.21,35.05,49.4,10.39,0.232,1820,1,0.72,,good,,simulated
2026-07-15T00:10:00.000Z,EDGE-GW-01,edge_gateway,online,25.13,38.21,34,7.69,0.12,560,1,2.93,95.99,good,,simulated
2026-07-15T00:10:00.000Z,EDGE-GW-02,edge_gateway,online,29.24,35.71,36.2,9.25,0.07,560,1,3.34,95.99,good,,simulated
2026-07-15T00:10:00.000Z,PLC-HVAC-01,plc,online,22.62,40.31,38.4,5.76,0.224,560,1,0.69,,good,,simulated
2026-07-15T00:10:00.000Z,DDC-AHU-01,ddc,online,30.38,34.6,40.6,10.38,0.003,560,1,4.87,,good,,simulated
2026-07-15T00:10:00.000Z,NEXUS-WEB-01,application,online,22.96,40.33,42.8,5.53,0.247,560,1,0.02,,good,,simulated
2026-07-15T00:10:00.000Z,NEXUS-API-01,api,online,28.61,35.68,45,9.7,0.026,560,1,4.63,,good,,simulated
2026-07-15T00:10:00.000Z,NEXUS-DB-01,database,online,26.01,38.25,47.2,7.07,0.18,560,1,1.16,,good,,simulated
2026-07-15T00:10:00.000Z,NEXUS-EVENT-01,event_bus,online,24.57,38.56,49.4,7.44,0.131,1820,1,2.69,,good,,simulated
2026-07-15T00:20:00.000Z,EDGE-GW-01,edge_gateway,online,28.06,35.93,34,9.66,0.019,560,1,4.99,95.97,good,,simulated
2026-07-15T00:20:00.000Z,EDGE-GW-02,edge_gateway,online,26.94,37.57,36.2,7.6,0.157,560,1,1.52,95.97,good,,simulated
2026-07-15T00:20:00.000Z,PLC-HVAC-01,plc,online,24.08,39.05,38.4,6.94,0.159,560,1,2.11,,good,,simulated
2026-07-15T00:20:00.000Z,DDC-AHU-01,ddc,online,29.9,35.14,40.6,9.79,0.04,560,1,3.99,,good,,simulated
2026-07-15T00:20:00.000Z,NEXUS-WEB-01,application,online,22.41,40.56,42.8,5.49,0.241,560,1,0.29,,good,,simulated
2026-07-15T00:20:00.000Z,NEXUS-API-01,api,online,30.13,34.7,45,10.37,0,560,1,5,,good,,simulated
2026-07-15T00:20:00.000Z,NEXUS-DB-01,database,online,23.65,39.89,47.2,5.83,0.235,560,1,0.18,,good,,simulated
2026-07-15T00:20:00.000Z,NEXUS-EVENT-01,event_bus,online,27.54,36.42,49.4,9.14,0.051,1820,1,4.18,,good,,simulated
2026-07-15T00:30:00.000Z,EDGE-GW-01,edge_gateway,online,23.41,39.4,34,6.75,0.165,560,1,2.04,95.96,good,,simulated
2026-07-15T00:30:00.000Z,EDGE-GW-02,edge_gateway,online,23.83,39.96,36.2,5.56,0.01,560,1,4.43,95.96,good,,simulated
2026-07-15T00:30:00.000Z,PLC-HVAC-01,plc,online,26.66,37.01,38.4,8.73,0.066,560,1,4.04,,good,,simulated
