timestamp,asset_id,equipment_type,terminal_id,zone_id,status,breaker_state,primary_voltage_v,secondary_voltage_v,current_l1_a,current_l2_a,current_l3_a,neutral_current_a,active_power_kw,reactive_power_kvar,apparent_power_kva,power_factor,frequency_hz,load_percent,winding_temp_c,oil_temp_c,thd_voltage_percent,thd_current_percent,voltage_unbalance_percent,current_unbalance_percent,alarm_code,quality,source_mode
2026-07-15T00:00:00.000Z,TR-01,transformer,T1,ELECTRICAL-PLANT,running,closed,10971.71,401.69,566.98,578.43,568.26,25.77,372.97,135.38,396.78,0.94,50.011,24.8,51.64,44.42,1.84,4.54,0.64,1.46,,good,simulated
2026-07-15T00:00:00.000Z,TR-02,transformer,T1,ELECTRICAL-PLANT,running,closed,10972.74,402.48,532.35,543.11,529.84,24.2,351.31,124,372.55,0.943,49.965,23.28,50.8,43.78,1.84,4.54,0.99,1.01,,good,simulated
2026-07-15T00:00:00.000Z,TR-03,transformer,T1,ELECTRICAL-PLANT,running,closed,11004,399.3,422.25,430.78,427.43,19.19,279.54,95.8,295.5,0.946,49.98,23.64,51,43.93,1.84,4.54,0.96,0.85,,good,simulated
2026-07-15T00:00:00.000Z,TR-04,transformer,T1,ELECTRICAL-PLANT,running,closed,11015.9,399.13,349.38,356.43,352.79,15.88,229.34,84.76,244.5,0.938,49.998,19.56,48.76,42.22,1.84,4.54,0.67,1.61,,good,simulated
2026-07-15T00:00:00.000Z,LV-MSB-01,lv_panel,T1,ELECTRICAL-PLANT,running,closed,,402.07,723.59,738.21,723.52,32.89,480.55,159.66,506.38,0.949,50.021,25.32,51.93,,1.84,4.54,0.53,1.68,,good,simulated
2026-07-15T00:00:00.000Z,LV-MSB-02,lv_panel,T1,ELECTRICAL-PLANT,running,closed,,397.2,473.81,483.38,482.73,21.54,310.69,115.83,331.58,0.937,49.966,20.72,49.4,,1.84,4.54,1.01,0.92,,good,simulated
2026-07-15T00:00:00.000Z,HVAC-MCC-01,mcc,T1,ELECTRICAL-PLANT,running,closed,,402.99,486.94,496.78,484.48,22.13,323.05,108.46,340.77,0.948,50.04,24.34,51.39,,1.84,4.54,0.31,2.16,,good,simulated
2026-07-15T00:10:00.000Z,TR-01,transformer,T1,ELECTRICAL-PLANT,running,closed,11003.19,399.4,617.53,630.01,624.66,28.07,409.26,138.81,432.16,0.947,49.983,27.01,52.86,45.34,1.84,4.54,0.91,0.99,,good,simulated
2026-07-15T00:10:00.000Z,TR-02,transformer,T1,ELECTRICAL-PLANT,running,closed,11019.17,398.98,563.12,574.49,568.82,25.6,373.59,125.42,394.08,0.948,49.997,24.63,51.55,44.34,1.84,4.54,0.68,1.58,,good,simulated
2026-07-15T00:10:00.000Z,TR-03,transformer,T1,ELECTRICAL-PLANT,running,closed,11036.53,402.82,403.13,411.28,402.15,18.32,265.76,94.67,282.12,0.942,50.026,22.57,50.41,43.48,1.84,4.54,0.5,1.72,,good,simulated
2026-07-15T00:10:00.000Z,TR-04,transformer,T1,ELECTRICAL-PLANT,running,closed,10987.44,401.36,361.71,369.02,361.73,16.44,238.2,85.65,253.13,0.941,50.03,20.25,49.14,42.51,1.84,4.54,0.35,0.73,,good,simulated
2026-07-15T00:10:00.000Z,LV-MSB-01,lv_panel,T1,ELECTRICAL-PLANT,running,closed,,400.31,713.89,728.31,719.5,32.45,473.11,160.49,499.59,0.947,49.994,24.98,51.74,,1.84,4.54,0.82,1.13,,good,simulated
2026-07-15T00:10:00.000Z,LV-MSB-02,lv_panel,T1,ELECTRICAL-PLANT,running,closed,,398.34,471.78,481.31,478.08,21.44,309.36,115.33,330.16,0.937,49.986,20.64,49.35,,1.84,4.54,0.8,1.36,,good,simulated
