timestamp,passenger_count,staff_count,active_flights,active_gates,outdoor_dry_bulb_c,outdoor_wet_bulb_c,outdoor_rh_percent,solar_load_percent,lighting_load_kw,equipment_load_kw,ventilation_load_kw,ahu_cooling_demand_percent,chw_supply_temp_c,chw_return_temp_c,calculated_cooling_load_kw,ahu_01_zone_temp_c,ahu_01_setpoint_c,ahu_01_cooling_valve_percent,ahu_02_zone_temp_c,ahu_02_setpoint_c,ahu_02_cooling_valve_percent,ahu_03_zone_temp_c,ahu_03_setpoint_c,ahu_03_cooling_valve_percent,ahu_04_zone_temp_c,ahu_04_setpoint_c,ahu_04_cooling_valve_percent,ahu_05_zone_temp_c,ahu_05_setpoint_c,ahu_05_cooling_valve_percent,ahu_06_zone_temp_c,ahu_06_setpoint_c,ahu_06_cooling_valve_percent,sensor_quality
2026-07-12T00:00:00+06:30,180,102,3,2,27.0,24.0,82.0,0.0,16.0,11.1,10.2,25.1,7.0,11.4,66.4,23.68,23.0,35.6,22.94,22.5,31.6,23.8,23.0,39.1,23.85,23.5,31.3,22.91,22.0,42.6,23.67,23.0,38.6,GOOD
2026-07-12T00:10:00+06:30,178,102,3,2,27.0,24.0,82.0,0.0,16.0,11.1,10.1,25.1,7.0,11.4,66.2,23.68,23.0,35.6,22.94,22.5,31.6,23.8,23.0,39.1,23.85,23.5,31.3,22.91,22.0,42.6,23.67,23.0,38.6,GOOD
2026-07-12T00:20:00+06:30,177,102,3,2,27.0,24.0,82.0,0.0,16.0,11.1,10.1,25.1,7.0,11.4,66.1,23.68,23.0,35.6,22.94,22.5,31.6,23.8,23.0,39.1,23.85,23.5,31.3,22.91,22.0,42.6,23.67,23.0,38.6,GOOD
2026-07-12T00:30:00+06:30,175,101,3,2,27.0,24.0,82.0,0.0,16.0,11.1,10.1,25.0,7.0,11.4,65.9,23.68,23.0,35.5,22.94,22.5,31.5,23.79,23.0,39.0,23.85,23.5,31.2,22.91,22.0,42.4,23.67,23.0,38.5,GOOD
2026-07-12T00:40:00+06:30,173,101,3,2,27.0,24.0,82.0,0.0,16.0,11.0,10.1,25.0,7.0,11.4,65.8,23.68,23.0,35.5,22.94,22.5,31.5,23.79,23.0,39.0,23.85,23.5,31.2,22.91,22.0,42.4,23.67,23.0,38.5,GOOD
2026-07-12T00:50:00+06:30,172,101,3,2,27.0,24.0,82.0,0.0,16.0,11.0,10.1,24.9,7.0,11.4,65.6,23.68,23.0,35.4,22.93,22.5,31.4,23.79,23.0,38.8,23.85,23.5,31.1,22.91,22.0,42.3,23.67,23.0,38.3,GOOD
2026-07-12T01:00:00+06:30,170,101,3,2,27.0,24.0,82.0,0.0,16.0,11.0,10.0,24.9,7.0,11.4,65.5,23.67,23.0,35.4,22.93,22.5,31.4,23.79,23.0,38.8,23.85,23.5,31.1,22.91,22.0,42.3,23.67,23.0,38.3,GOOD
2026-07-12T01:10:00+06:30,168,101,3,2,27.0,24.0,82.0,0.0,16.0,11.0,10.0,24.8,7.0,11.4,65.3,23.67,23.0,35.2,22.93,22.5,31.3,23.79,23.0,38.7,23.85,23.5,30.9,22.91,22.0,42.2,23.67,23.0,38.2,GOOD
2026-07-12T01:20:00+06:30,167,101,3,2,27.0,24.0,82.0,0.0,16.0,11.0,10.0,24.8,7.0,11.4,65.2,23.67,23.0,35.2,22.93,22.5,31.3,23.79,23.0,38.7,23.85,23.5,30.9,22.91,22.0,42.2,23.67,23.0,38.2,GOOD
2026-07-12T01:30:00+06:30,165,101,3,2,27.0,24.0,82.0,0.0,16.0,11.0,10.0,24.7,7.0,11.4,65.0,23.67,23.0,35.1,22.93,22.5,31.1,23.79,23.0,38.6,23.85,23.5,30.8,22.91,22.0,42.0,23.66,23.0,38.0,GOOD
2026-07-12T01:40:00+06:30,163,101,3,2,27.0,24.0,82.0,0.0,16.0,11.0,10.0,24.7,7.0,11.4,64.9,23.67,23.0,35.1,22.93,22.5,31.1,23.79,23.0,38.6,23.85,23.5,30.8,22.91,22.0,42.0,23.66,23.0,38.0,GOOD
2026-07-12T01:50:00+06:30,162,101,3,2,27.0,24.0,82.0,0.0,16.0,11.0,9.9,24.6,7.0,11.4,64.7,23.67,23.0,35.0,22.93,22.5,31.0,23.79,23.0,38.4,23.85,23.5,30.7,22.9,22.0,41.9,23.66,23.0,37.9,GOOD
2026-07-12T02:00:00+06:30,160,100,3,2,27.0,24.0,82.0,0.0,16.0,11.0,9.9,24.6,7.0,11.4,64.6,23.67,23.0,35.0,22.93,22.5,31.0,23.79,23.0,38.4,23.85,23.5,30.7,22.9,22.0,41.9,23.66,23.0,37.9,GOOD
2026-07-12T02:10:00+06:30,158,100,3,2,27.0,24.0,82.0,0.0,16.0,11.0,9.9,24.5,7.0,11.4,64.4,23.67,23.0,34.9,22.93,22.5,30.9,23.79,23.0,38.3,23.84,23.5,30.5,22.9,22.0,41.8,23.66,23.0,37.8,GOOD
2026-07-12T02:20:00+06:30,157,100,3,2,27.0,24.0,82.0,0.0,16.0,10.9,9.9,24.5,7.0,11.4,64.3,23.67,23.0,34.9,22.93,22.5,30.9,23.79,23.0,38.3,23.84,23.5,30.5,22.9,22.0,41.8,23.66,23.0,37.8,GOOD
2026-07-12T02:30:00+06:30,155,100,3,2,27.0,24.0,82.0,0.0,16.0,10.9,9.9,24.4,7.0,11.4,64.1,23.67,23.0,34.8,22.93,22.5,30.8,23.78,23.0,38.2,23.84,23.5,30.4,22.9,22.0,41.6,23.66,23.0,37.6,GOOD
2026-07-12T02:40:00+06:30,153,100,3,2,27.0,24.0,82.0,0.0,16.0,10.9,9.8,24.4,7.0,11.4,64.0,23.67,23.0,34.8,22.93,22.5,30.8,23.78,23.0,38.2,23.84,23.5,30.4,22.9,22.0,41.6,23.66,23.0,37.6,GOOD
2026-07-12T02:50:00+06:30,152,100,3,2,27.0,24.0,82.0,0.0,16.0,10.9,9.8,24.3,7.0,11.4,63.8,23.67,23.0,34.6,22.92,22.5,30.6,23.78,23.0,38.1,23.84,23.5,30.3,22.9,22.0,41.5,23.66,23.0,37.5,GOOD
