timestamp,equipment_id,zone_name,status,zone_temp_c,zone_setpoint_c,zone_rh_percent,supply_air_temp_c,return_air_temp_c,supply_air_rh_percent,return_air_rh_percent,supply_airflow_cmh,fan_speed_percent,cooling_valve_percent,damper_position_percent,outdoor_air_percent,filter_dp_pa,co2_ppm,pm25_ug_m3,occupancy,sensor_quality,communication_status,data_age_seconds
2026-07-12T00:00:00+06:30,AHU-01,Check-in Hall,running,23.38,23.00,57.0,14.27,23.70,64.0,57.0,8602,47.8,31.9,25.0,21.3,144.7,456,7.4,29,GOOD,online,0
2026-07-12T00:00:00+06:30,AHU-02,Departure Hall,running,22.79,22.50,58.4,14.60,23.21,65.4,58.4,9252,46.3,29.4,25.0,21.3,147.8,458,7.6,32,GOOD,online,0
2026-07-12T00:00:00+06:30,AHU-03,Arrival Hall,running,23.57,23.00,55.1,14.08,23.69,62.1,55.1,9924,50.9,36.9,25.0,21.3,158.6,454,10.5,25,GOOD,online,0
2026-07-12T00:00:00+06:30,AHU-04,Baggage Claim,running,23.94,23.50,56.7,14.51,24.06,63.7,56.7,7808,48.8,33.5,25.0,21.3,161.0,452,8.0,21,GOOD,online,0
2026-07-12T00:00:00+06:30,AHU-05,VIP Lounge,running,22.29,22.00,58.0,14.55,22.62,65.0,58.0,3700,46.2,29.4,25.0,21.3,162.8,446,10.3,11,GOOD,online,0
2026-07-12T00:00:00+06:30,AHU-06,Immigration Hall,running,23.35,23.00,58.5,14.34,23.76,65.5,58.5,7081,47.2,31.0,25.0,21.3,169.0,452,9.6,21,GOOD,online,0
2026-07-12T00:10:00+06:30,AHU-01,Check-in Hall,running,23.51,23.00,55.8,14.22,23.95,62.8,55.8,8963,49.8,35.2,25.0,21.3,147.2,456,7.3,29,GOOD,online,0
2026-07-12T00:10:00+06:30,AHU-02,Departure Hall,running,22.83,22.50,57.4,14.39,23.20,64.4,57.4,9386,46.9,30.5,25.0,21.3,148.7,458,9.3,32,GOOD,online,0
2026-07-12T00:10:00+06:30,AHU-03,Arrival Hall,running,23.56,23.00,56.9,14.41,23.89,63.9,56.9,9883,50.7,36.6,25.0,21.3,158.4,454,8.2,25,GOOD,online,0
2026-07-12T00:10:00+06:30,AHU-04,Baggage Claim,running,23.86,23.50,55.2,14.24,24.32,62.2,55.2,7588,47.4,31.3,25.0,21.3,159.3,452,8.3,21,GOOD,online,0
2026-07-12T00:10:00+06:30,AHU-05,VIP Lounge,running,22.42,22.00,58.6,14.29,22.58,65.6,58.6,3870,48.4,32.9,25.0,21.3,165.5,446,9.9,11,GOOD,online,0
2026-07-12T00:10:00+06:30,AHU-06,Immigration Hall,running,23.52,23.00,57.5,14.32,23.95,64.5,57.5,7501,50.0,35.5,25.0,21.3,172.5,452,8.9,21,GOOD,online,0
2026-07-12T00:20:00+06:30,AHU-01,Check-in Hall,running,23.56,23.00,55.1,14.13,23.94,62.1,55.1,9133,50.7,36.7,25.0,21.3,148.4,456,8.6,29,GOOD,online,0
2026-07-12T00:20:00+06:30,AHU-02,Departure Hall,running,22.88,22.50,55.7,14.40,23.35,62.7,55.7,9564,47.8,32.0,25.0,21.3,149.8,458,10.4,32,GOOD,online,0
2026-07-12T00:20:00+06:30,AHU-03,Arrival Hall,running,23.60,23.00,57.0,14.32,23.86,64.0,57.0,10007,51.3,37.6,25.0,21.3,159.1,454,8.2,25,GOOD,online,0
2026-07-12T00:20:00+06:30,AHU-04,Baggage Claim,running,23.93,23.50,57.6,14.42,24.28,64.6,57.6,7778,48.6,33.2,25.0,21.3,160.8,452,7.2,21,GOOD,online,0
2026-07-12T00:20:00+06:30,AHU-05,VIP Lounge,running,22.49,22.00,56.5,14.27,22.68,63.5,56.5,3968,49.6,34.8,25.0,21.3,167.0,446,8.0,11,GOOD,online,0
2026-07-12T00:20:00+06:30,AHU-06,Immigration Hall,running,23.38,23.00,55.3,14.23,23.82,62.3,55.3,7158,47.7,31.8,25.0,21.3,169.6,452,9.3,21,GOOD,online,0
2026-07-12T00:30:00+06:30,AHU-01,Check-in Hall,running,23.25,23.00,54.9,14.33,23.65,61.9,54.9,8230,45.7,28.6,25.0,21.3,142.2,456,8.7,29,GOOD,online,0
2026-07-12T00:30:00+06:30,AHU-02,Departure Hall,running,22.93,22.50,55.3,14.27,23.35,62.3,55.3,9710,48.6,33.1,25.0,21.3,150.7,458,7.4,32,GOOD,online,0
2026-07-12T00:30:00+06:30,AHU-03,Arrival Hall,running,23.28,23.00,55.5,14.51,23.59,62.5,55.5,9014,46.2,29.4,25.0,21.3,152.8,454,10.0,25,GOOD,online,0
2026-07-12T00:30:00+06:30,AHU-04,Baggage Claim,running,23.88,23.50,56.7,14.58,23.98,63.7,56.7,7636,47.7,31.8,25.0,21.3,159.7,452,8.4,21,GOOD,online,0
2026-07-12T00:30:00+06:30,AHU-05,VIP Lounge,running,22.42,22.00,57.3,14.27,22.52,64.3,57.3,3875,48.4,33.0,25.0,21.3,165.5,446,9.0,11,GOOD,online,0
2026-07-12T00:30:00+06:30,AHU-06,Immigration Hall,running,23.61,23.00,54.9,14.19,24.04,61.9,54.9,7715,51.4,37.8,25.0,21.3,174.3,452,10.1,21,GOOD,online,0
2026-07-12T00:40:00+06:30,AHU-01,Check-in Hall,running,23.35,23.00,55.9,14.44,23.84,62.9,55.9,8510,47.3,31.1,25.0,21.3,144.1,456,10.5,29,GOOD,online,0
2026-07-12T00:40:00+06:30,AHU-02,Departure Hall,running,22.97,22.50,55.8,14.45,23.13,62.8,55.8,9854,49.3,34.3,25.0,21.3,151.6,458,7.2,32,GOOD,online,0
2026-07-12T00:40:00+06:30,AHU-03,Arrival Hall,running,23.51,23.00,57.2,14.36,23.84,64.2,57.2,9715,49.8,35.2,25.0,21.3,157.3,454,7.3,25,GOOD,online,0
2026-07-12T00:40:00+06:30,AHU-04,Baggage Claim,running,23.94,23.50,57.2,14.13,24.07,64.2,57.2,7808,48.8,33.5,25.0,21.3,161.0,452,10.2,21,GOOD,online,0
