timestamp,equipment_id,equipment_type,status,load_percent,power_kw,motor_current_a,vibration_rms_mm_s,bearing_temp_c,motor_winding_temp_c,current_imbalance_percent,runtime_hours,start_count,health_score,failure_probability_percent,remaining_useful_life_days,alarm_code,sensor_quality,communication_status,data_age_seconds
2026-07-12T00:00:00+06:30,CH-01,chiller,running,67.8,7.46,13.05,1.83,45.6,59.0,1.26,1200.00,280,97.6,1.32,822,,GOOD,online,0
2026-07-12T00:00:00+06:30,CH-02,chiller,running,67.8,7.46,13.05,1.97,46.8,59.5,1.10,1317.00,296,97.6,1.34,822,,GOOD,online,0
2026-07-12T00:00:00+06:30,CH-03,chiller,standby,0.0,0.00,0.00,0.00,29.0,32.0,0.00,1434.00,312,97.5,1.36,821,,GOOD,online,0
2026-07-12T00:00:00+06:30,CH-04,chiller,standby,0.0,0.00,0.00,0.00,29.0,32.0,0.00,1551.00,328,97.5,1.38,821,,GOOD,online,0
2026-07-12T00:00:00+06:30,PCHWP-01,primary-chw-pump,running,69.0,3.79,6.64,1.79,46.6,58.8,1.29,1668.00,344,97.4,1.41,821,,GOOD,online,0
2026-07-12T00:00:00+06:30,PCHWP-02,primary-chw-pump,running,69.0,3.79,6.64,1.85,45.2,58.9,1.28,1785.00,360,97.4,1.43,821,,GOOD,online,0
2026-07-12T00:00:00+06:30,PCHWP-03,primary-chw-pump,standby,0.0,0.00,0.00,0.00,29.0,32.0,0.00,1902.00,376,97.4,1.45,820,,GOOD,online,0
2026-07-12T00:00:00+06:30,PCHWP-04,primary-chw-pump,standby,0.0,0.00,0.00,0.00,29.0,32.0,0.00,2019.00,392,97.3,1.47,820,,GOOD,online,0
2026-07-12T00:00:00+06:30,CWP-01,condenser-water-pump,running,69.0,2.76,4.83,1.89,46.9,60.8,1.29,2136.00,408,97.3,1.49,820,,GOOD,online,0
2026-07-12T00:00:00+06:30,CWP-02,condenser-water-pump,running,69.0,2.76,4.83,1.83,46.8,58.9,1.31,2253.00,424,97.2,1.51,819,,GOOD,online,0
2026-07-12T00:00:00+06:30,CWP-03,condenser-water-pump,standby,0.0,0.00,0.00,0.00,29.0,32.0,0.00,2370.00,440,97.2,1.53,819,,GOOD,online,0
2026-07-12T00:00:00+06:30,CWP-04,condenser-water-pump,standby,0.0,0.00,0.00,0.00,29.0,32.0,0.00,2487.00,456,97.2,1.56,819,,GOOD,online,0
2026-07-12T00:00:00+06:30,CT-01,cooling-tower,running,60.0,1.32,2.31,1.73,43.8,55.8,1.25,2604.00,472,97.1,1.58,818,,GOOD,online,0
